c,h,l,n,o,t,v,vw
281.95,281.95,281.95,4,281.95,2024-04-01T10:00:00Z,222,281.95
282.45,282.45,282.45,7,282.45,2024-04-01T11:00:00Z,356,282.45
281.74,281.74,281.4501,24,281.4501,2024-04-01T12:00:00Z,412,281.524433
281.43,281.5,281.43,9,281.5,2024-04-01T12:30:00Z,385,281.458
281.41,281.41,281.41,3,281.41,2024-04-01T12:35:00Z,135,281.41
281.8,281.8,281.8,1,281.8,2024-04-01T12:45:00Z,100,281.8
281.45,281.45,281.45,2,281.45,2024-04-01T13:00:00Z,126,281.45
281.15,281.45,281.15,43,281.45,2024-04-01T13:15:00Z,1762,281.379913
281.25,281.55,280.5,2234,281.5,2024-04-01T13:30:00Z,58899,281.285244
280.49,281.48,280.48,793,281.25,2024-04-01T13:35:00Z,20906,280.801822
280.53,280.76,280.38,840,280.62,2024-04-01T13:40:00Z,42692,280.577749
279.62,280.68,279.54,1608,280.56,2024-04-01T13:45:00Z,58391,280.094178
280.01,280.105,279.54,1357,279.54,2024-04-01T13:50:00Z,38041,279.900219
280.11,280.18,279.94,885,280.035,2024-04-01T13:55:00Z,13851,280.060717
279.96,280.175,279.8128,1297,280.07,2024-04-01T14:00:00Z,32548,279.952975
280.075,280.2162,279.9,1115,280.0,2024-04-01T14:05:00Z,29219,280.085923
279.57,280.11,279.56,1345,279.99,2024-04-01T14:10:00Z,43181,279.946197
279.28,279.65,279.18,1198,279.62,2024-04-01T14:15:00Z,33033,279.396917
278.95,279.31,278.82,828,279.25,2024-04-01T14:20:00Z,23156,279.032308
278.94,279.04,278.64,887,278.81,2024-04-01T14:25:00Z,53928,278.909477
278.975,279.1399,278.765,857,278.96,2024-04-01T14:30:00Z,41239,278.93639
279.08,279.1199,278.94,686,278.975,2024-04-01T14:35:00Z,21188,279.005015
279.18,279.19,279.01,573,279.02,2024-04-01T14:40:00Z,18062,279.099654
279.14,279.22,279.1,582,279.1933,2024-04-01T14:45:00Z,14498,279.157989
279.25,279.4458,279.1801,697,279.185,2024-04-01T14:50:00Z,31168,279.302054
279.23,279.48,279.23,556,279.255,2024-04-01T14:55:00Z,16488,279.365635
279.62,279.62,279.21,567,279.23,2024-04-01T15:00:00Z,21756,279.352586
279.86,279.9,279.61,638,279.62,2024-04-01T15:05:00Z,21722,279.739172
279.54,279.89,279.54,491,279.875,2024-04-01T15:10:00Z,15680,279.750489
279.602,279.79,279.53,465,279.55,2024-04-01T15:15:00Z,14483,279.639605
279.78,279.89,279.655,432,279.7,2024-04-01T15:20:00Z,13134,279.74799
279.631,279.77,279.6,377,279.675,2024-04-01T15:25:00Z,13326,279.680642
279.54,279.69,279.52,508,279.6,2024-04-01T15:30:00Z,14372,279.599019
279.578,279.615,279.53,410,279.5557,2024-04-01T15:35:00Z,10048,279.576492
279.64,279.6801,279.55,438,279.643,2024-04-01T15:40:00Z,12954,279.61958
279.425,279.65,279.35,534,279.65,2024-04-01T15:45:00Z,13555,279.471282
279.39,279.6898,279.34,1061,279.4248,2024-04-01T15:50:00Z,25618,279.519395
279.54,279.54,279.33,555,279.405,2024-04-01T15:55:00Z,14104,279.427912
279.75,279.75,279.41,595,279.45,2024-04-01T16:00:00Z,14763,279.57565
279.505,279.75,279.47,353,279.68,2024-04-01T16:05:00Z,8960,279.57619
279.435,279.53,279.28,384,279.53,2024-04-01T16:10:00Z,14104,279.399502
279.335,279.5,279.315,423,279.48,2024-04-01T16:15:00Z,10717,279.401134
279.2,279.33,279.2,413,279.28,2024-04-01T16:20:00Z,10943,279.264133
279.276,279.37,279.22,501,279.25,2024-04-01T16:25:00Z,15873,279.295198
279.465,279.57,279.28,491,279.29,2024-04-01T16:30:00Z,13451,279.467816
279.345,279.47,279.31,403,279.43,2024-04-01T16:35:00Z,7815,279.415441
279.5496,279.56,279.37,401,279.37,2024-04-01T16:40:00Z,9401,279.485041
279.415,279.54,279.36,324,279.51,2024-04-01T16:45:00Z,9651,279.453732
279.78,279.78,279.48,344,279.48,2024-04-01T16:50:00Z,7907,279.651564
279.89,279.95,279.68,459,279.75,2024-04-01T16:55:00Z,11964,279.813167
279.89,279.941,279.81,369,279.88,2024-04-01T17:00:00Z,9799,279.876449
279.84,279.965,279.84,340,279.88,2024-04-01T17:05:00Z,8556,279.911266
280.0814,280.17,279.78,495,279.82,2024-04-01T17:10:00Z,14951,279.966331
279.8465,280.085,279.8465,380,280.085,2024-04-01T17:15:00Z,9463,279.986508
279.79,279.93,279.77,449,279.85,2024-04-01T17:20:00Z,10041,279.842675
280.2133,280.2133,279.77,580,279.77,2024-04-01T17:25:00Z,21985,279.950208
279.7,280.285,279.62,622,280.2,2024-04-01T17:30:00Z,67949,279.961225
279.56,279.75,279.56,531,279.62,2024-04-01T17:35:00Z,15468,279.642468
279.98,280.01,279.58,413,279.58,2024-04-01T17:40:00Z,19655,279.809614
279.87,280.01,279.85,322,279.97,2024-04-01T17:45:00Z,8855,279.913635
279.87,279.93,279.67,481,279.84,2024-04-01T17:50:00Z,18001,279.799524
279.97,279.97,279.89,399,279.92,2024-04-01T17:55:00Z,9201,279.920641
280.215,280.2371,279.995,431,279.995,2024-04-01T18:00:00Z,11593,280.124225
280.1482,280.27,280.14,349,280.2254,2024-04-01T18:05:00Z,13397,280.175443
280.14,280.24,280.08,345,280.145,2024-04-01T18:10:00Z,8948,280.16213
280.18,280.26,280.1,370,280.15,2024-04-01T18:15:00Z,9192,280.180094
280.2266,280.27,280.15,389,280.17,2024-04-01T18:20:00Z,9950,280.23422
280.05,280.28,280.05,478,280.245,2024-04-01T18:25:00Z,15550,280.176947
280.22,280.2503,280.075,400,280.08,2024-04-01T18:30:00Z,9310,280.164265
280.23,280.36,280.18,463,280.19,2024-04-01T18:35:00Z,12425,280.271933
280.38,280.38,280.1505,450,280.19,2024-04-01T18:40:00Z,17524,280.237042
280.25,280.405,280.23,456,280.36,2024-04-01T18:45:00Z,17970,280.358746
280.12,280.2764,280.0447,478,280.25,2024-04-01T18:50:00Z,12446,280.143747
280.07,280.1789,280.01,434,280.16,2024-04-01T18:55:00Z,15217,280.105396
280.24,280.24,280.01,549,280.04,2024-04-01T19:00:00Z,16632,280.162202
280.23,280.375,280.16,477,280.265,2024-04-01T19:05:00Z,11741,280.274509
280.145,280.3,280.09,474,280.264,2024-04-01T19:10:00Z,14335,280.157109
280.06,280.1799,279.98,593,280.135,2024-04-01T19:15:00Z,16712,280.092677
279.99,280.13,279.91,581,280.075,2024-04-01T19:20:00Z,16393,280.041956
280.0,280.06,279.94,599,279.99,2024-04-01T19:25:00Z,14977,280.006458
280.123,280.155,279.97,749,280.0,2024-04-01T19:30:00Z,21762,280.058628
279.92,280.15,279.9,693,280.12,2024-04-01T19:35:00Z,20786,280.002735
279.99,280.03,279.9,988,279.93,2024-04-01T19:40:00Z,28027,279.9582
279.8,279.96,279.6,1392,279.95,2024-04-01T19:45:00Z,83336,279.688725
280.23,280.23,279.74,1449,279.77,2024-04-01T19:50:00Z,47158,280.063321
280.1,280.34,280.07,3330,280.28,2024-04-01T19:55:00Z,198350,280.187169
280.22,280.22,280.22,56,280.22,2024-04-01T20:00:00Z,497228,280.22
280.62,280.62,280.62,1,280.62,2024-04-01T20:35:00Z,105,280.62
280.54,280.54,280.54,1,280.54,2024-04-01T20:40:00Z,105,280.54
280.15,280.15,280.15,1,280.15,2024-04-01T23:05:00Z,115,280.15
280.26,280.26,280.26,3,280.26,2024-04-01T23:30:00Z,175,280.26
279.16,279.16,279.16,10,279.16,2024-04-02T12:50:00Z,216,279.16
278.9108,278.9108,278.9108,1,278.9108,2024-04-02T13:10:00Z,100,278.9108
279.5,279.5,279.5,13,279.5,2024-04-02T13:20:00Z,361,279.5
278.86,280.48,278.85,1816,280.0,2024-04-02T13:30:00Z,79822,279.910039
278.59,279.51,278.59,1011,279.0,2024-04-02T13:35:00Z,38706,279.035519
278.9622,279.16,278.58,632,278.59,2024-04-02T13:40:00Z,49961,278.881588
278.545,279.065,278.39,898,279.01,2024-04-02T13:45:00Z,12176,278.681174
278.68,278.72,278.25,1170,278.62,2024-04-02T13:50:00Z,36177,278.619801
278.65,278.91,278.38,996,278.67,2024-04-02T13:55:00Z,19424,278.661554
278.855,279.0,278.67,1270,278.77,2024-04-02T14:00:00Z,27856,278.820484
278.47,278.9899,278.34,1018,278.845,2024-04-02T14:05:00Z,20341,278.774303
278.25,278.5,278.23,644,278.48,2024-04-02T14:10:00Z,17694,278.376472
278.3,278.59,278.225,552,278.39,2024-04-02T14:15:00Z,14942,278.393221
278.25,278.435,278.2,532,278.22,2024-04-02T14:20:00Z,11477,278.313872
277.895,278.3997,277.895,946,278.19,2024-04-02T14:25:00Z,26702,278.112239
277.945,278.11,277.83,805,277.91,2024-04-02T14:30:00Z,31450,277.984473
278.25,278.31,277.9,656,277.9,2024-04-02T14:35:00Z,19639,278.142765
278.105,278.39,278.03,600,278.295,2024-04-02T14:40:00Z,19228,278.196642
278.24,278.31,278.055,670,278.105,2024-04-02T14:45:00Z,22599,278.188452
278.68,278.68,278.22,632,278.2666,2024-04-02T14:50:00Z,21532,278.441979
278.82,278.95,278.71,535,278.71,2024-04-02T14:55:00Z,18211,278.884985
278.92,279.14,278.74,509,278.8,2024-04-02T15:00:00Z,17757,278.909936
278.775,279.06,278.72,556,278.87,2024-04-02T15:05:00Z,20799,278.877378
278.82,278.82,278.54,451,278.71,2024-04-02T15:10:00Z,14266,278.698917
278.91,278.97,278.75,472,278.82,2024-04-02T15:15:00Z,14772,278.840788
278.65,278.94,278.65,444,278.94,2024-04-02T15:20:00Z,13038,278.771245
278.32,278.73,278.32,628,278.71,2024-04-02T15:25:00Z,22171,278.561449
278.62,278.74,278.34,745,278.352,2024-04-02T15:30:00Z,28345,278.568488
277.9775,278.71,277.97,673,278.65,2024-04-02T15:35:00Z,25640,278.290057
277.9701,278.15,277.83,707,277.93,2024-04-02T15:40:00Z,23184,277.968841
278.145,278.145,277.91,619,278.045,2024-04-02T15:45:00Z,17724,278.017102
278.085,278.19,277.97,544,278.1,2024-04-02T15:50:00Z,28545,278.045979
278.1275,278.29,278.05,498,278.07,2024-04-02T15:55:00Z,19884,278.142731
277.7595,278.145,277.755,695,278.145,2024-04-02T16:00:00Z,28227,277.986029
277.69,277.82,277.57,663,277.755,2024-04-02T16:05:00Z,18659,277.681326
277.7,277.7601,277.595,509,277.7601,2024-04-02T16:10:00Z,16205,277.677875
277.75,277.75,277.62,529,277.7,2024-04-02T16:15:00Z,17185,277.688369
277.9617,277.9617,277.72,409,277.8,2024-04-02T16:20:00Z,10470,277.826066
277.92,278.06,277.92,550,277.96,2024-04-02T16:25:00Z,16061,277.97716
277.9607,278.1,277.94,493,278.0,2024-04-02T16:30:00Z,13942,278.035899
278.015,278.1223,277.89,489,277.99,2024-04-02T16:35:00Z,15317,277.982066
278.0875,278.123,277.92,416,278.05,2024-04-02T16:40:00Z,10200,278.028234
278.12,278.22,278.04,418,278.105,2024-04-02T16:45:00Z,8986,278.134802
277.88,278.14,277.88,430,278.13,2024-04-02T16:50:00Z,10339,278.045977
277.98,278.02,277.82,470,277.9425,2024-04-02T16:55:00Z,11897,277.937309
277.94,278.025,277.93,452,278.02,2024-04-02T17:00:00Z,11234,277.978615
277.77,277.98,277.76,629,277.96,2024-04-02T17:05:00Z,17773,277.846033
277.66,277.86,277.64,585,277.785,2024-04-02T17:10:00Z,14660,277.760343
277.45,277.73,277.45,756,277.69,2024-04-02T17:15:00Z,26655,277.604091
277.52,277.565,277.46,571,277.5,2024-04-02T17:20:00Z,15903,277.511991
277.95,277.95,277.53,615,277.54,2024-04-02T17:25:00Z,27007,277.739484
278.01,278.055,277.89,509,277.97,2024-04-02T17:30:00Z,17045,277.973268
277.88,278.06,277.88,415,278.045,2024-04-02T17:35:00Z,12721,277.993123
278.06,278.11,277.88,583,277.88,2024-04-02T17:40:00Z,19184,278.036433
278.13,278.2,278.1,378,278.13,2024-04-02T17:45:00Z,11236,278.146879
278.1298,278.17,277.95,402,278.115,2024-04-02T17:50:00Z,10289,278.067761
278.3601,278.44,278.12,475,278.12,2024-04-02T17:55:00Z,14363,278.310421
278.1,278.43,278.0489,522,278.42,2024-04-02T18:00:00Z,13054,278.220994
278.1475,278.18,278.05,558,278.05,2024-04-02T18:05:00Z,13373,278.120415
278.09,278.28,278.085,411,278.165,2024-04-02T18:10:00Z,11152,278.183421
278.17,278.17,278.06,430,278.15,2024-04-02T18:15:00Z,12810,278.126636
278.08,278.2099,278.0,520,278.18,2024-04-02T18:20:00Z,16299,278.097356
277.96,278.15,277.92,602,278.09,2024-04-02T18:25:00Z,19649,278.018365
278.26,278.26,277.965,457,277.965,2024-04-02T18:30:00Z,13376,278.118
278.28,278.41,278.13,588,278.27,2024-04-02T18:35:00Z,18578,278.26472
278.36,278.4159,278.29,572,278.33,2024-04-02T18:40:00Z,24293,278.349433
278.09,278.34,278.01,783,278.33,2024-04-02T18:45:00Z,30070,278.146891
278.215,278.38,278.08,664,278.13,2024-04-02T18:50:00Z,30721,278.200034
278.13,278.2719,278.06,571,278.235,2024-04-02T18:55:00Z,20411,278.161204
278.36,278.36,278.08,558,278.08,2024-04-02T19:00:00Z,20629,278.172974
278.43,278.48,278.28,721,278.37,2024-04-02T19:05:00Z,23679,278.376983
278.231,278.5,278.185,727,278.405,2024-04-02T19:10:00Z,27943,278.383621
278.26,278.38,278.19,581,278.21,2024-04-02T19:15:00Z,17830,278.28273
278.505,278.505,278.245,657,278.245,2024-04-02T19:20:00Z,22947,278.371944
278.22,278.61,278.194,815,278.515,2024-04-02T19:25:00Z,27398,278.39135
278.225,278.285,277.98,1014,278.24,2024-04-02T19:30:00Z,39305,278.103285
278.135,278.3095,278.13,799,278.2,2024-04-02T19:35:00Z,26631,278.220022
278.1715,278.27,278.04,1090,278.135,2024-04-02T19:40:00Z,35815,278.126924
278.33,278.38,278.12,1154,278.19,2024-04-02T19:45:00Z,41739,278.25846
278.06,278.32,277.8,1954,278.32,2024-04-02T19:50:00Z,82706,278.047643
277.9,278.175,277.6,4217,278.08,2024-04-02T19:55:00Z,238178,277.818719
277.74,277.89,277.74,97,277.89,2024-04-02T20:00:00Z,847322,277.740416
277.74,277.74,277.74,4,277.74,2024-04-02T20:05:00Z,10977,277.74
277.74,277.74,277.74,2,277.74,2024-04-02T20:20:00Z,583,277.74
277.7,277.7,277.7,13,277.7,2024-04-02T20:45:00Z,471,277.7
277.74,277.74,277.74,1,277.74,2024-04-02T21:25:00Z,181,277.74
277.93,277.9309,277.93,3,277.9309,2024-04-02T22:05:00Z,291,277.93045
277.23,277.32,277.23,27,277.32,2024-04-03T11:30:00Z,718,277.27927
277.07,277.29,277.07,28,277.29,2024-04-03T11:45:00Z,1741,277.127868
277.08,277.12,277.08,9,277.08,2024-04-03T11:50:00Z,500,277.0911
276.76,277.03,276.6,83,277.03,2024-04-03T12:20:00Z,3475,276.928743
276.49,276.49,276.49,23,276.49,2024-04-03T12:45:00Z,343,276.49
276.49,276.49,276.49,24,276.49,2024-04-03T12:50:00Z,760,276.49
276.58,276.58,276.58,1,276.58,2024-04-03T13:10:00Z,600,276.58
276.67,276.67,276.67,4,276.67,2024-04-03T13:25:00Z,192,276.67
276.705,277.0383,276.188,2152,276.57,2024-04-03T13:30:00Z,110585,276.624517
276.225,276.76,275.985,1369,276.61,2024-04-03T13:35:00Z,58516,276.313806
276.365,276.545,276.01,929,276.225,2024-04-03T13:40:00Z,46090,276.305067
276.88,277.1304,276.29,1263,276.29,2024-04-03T13:45:00Z,49180,276.856992
276.83,276.89,276.51,1299,276.843,2024-04-03T13:50:00Z,34289,276.68397
276.68,276.89,276.51,1164,276.83,2024-04-03T13:55:00Z,32444,276.725669
277.04,277.46,276.47,1255,276.625,2024-04-03T14:00:00Z,33739,277.006392
277.205,277.27,276.938,966,277.03,2024-04-03T14:05:00Z,21629,277.130364
277.51,277.53,277.04,588,277.205,2024-04-03T14:10:00Z,20291,277.372606
277.6,277.65,277.38,581,277.41,2024-04-03T14:15:00Z,19164,277.559504
277.44,277.65,277.42,534,277.65,2024-04-03T14:20:00Z,17320,277.532075
277.32,277.505,277.27,634,277.41,2024-04-03T14:25:00Z,18990,277.406544
277.12,277.405,277.08,666,277.325,2024-04-03T14:30:00Z,26445,277.254997
277.24,277.3764,277.17,464,277.17,2024-04-03T14:35:00Z,15311,277.275699
277.25,277.39,277.22,565,277.27,2024-04-03T14:40:00Z,20871,277.312927
277.475,277.62,277.2501,538,277.3,2024-04-03T14:45:00Z,21230,277.510112
277.47,277.56,277.3,572,277.46,2024-04-03T14:50:00Z,20049,277.42197
277.37,277.67,277.35,537,277.455,2024-04-03T14:55:00Z,19090,277.509232
277.775,277.88,277.38,537,277.41,2024-04-03T15:00:00Z,17269,277.698912
277.9548,277.9548,277.671,517,277.69,2024-04-03T15:05:00Z,15368,277.834084
277.91,277.96,277.74,546,277.93,2024-04-03T15:10:00Z,17286,277.853113
277.54,277.8964,277.49,461,277.8964,2024-04-03T15:15:00Z,15039,277.705383
277.36,277.54,277.3,558,277.54,2024-04-03T15:20:00Z,19651,277.388268
277.36,277.4783,277.19,578,277.4099,2024-04-03T15:25:00Z,21137,277.352441
277.3401,277.41,277.22,639,277.38,2024-04-03T15:30:00Z,22865,277.331481
277.2923,277.4514,277.26,510,277.375,2024-04-03T15:35:00Z,15467,277.387789
277.108,277.28,277.061,504,277.255,2024-04-03T15:40:00Z,16700,277.213652
277.0206,277.27,276.98,577,277.0974,2024-04-03T15:45:00Z,20933,277.084479
276.8,277.05,276.75,599,276.99,2024-04-03T15:50:00Z,21304,276.899912
276.7401,276.92,276.7,552,276.7701,2024-04-03T15:55:00Z,17225,276.80457
276.78,276.82,276.6825,510,276.74,2024-04-03T16:00:00Z,15470,276.757142
276.9,276.9223,276.7568,403,276.785,2024-04-03T16:05:00Z,14367,276.837493
276.92,276.96,276.8,752,276.86,2024-04-03T16:10:00Z,22426,276.893565
277.095,277.14,276.84,521,276.915,2024-04-03T16:15:00Z,15718,276.984054
277.3,277.34,277.05,446,277.105,2024-04-03T16:20:00Z,15517,277.203104
277.12,277.28,277.0,474,277.28,2024-04-03T16:25:00Z,16089,277.117988
277.345,277.39,277.08,366,277.15,2024-04-03T16:30:00Z,10356,277.275463
276.67,277.3,276.62,583,277.27,2024-04-03T16:35:00Z,17190,276.968729
276.93,276.93,276.64,432,276.65,2024-04-03T16:40:00Z,11064,276.828485
276.9,276.975,276.82,363,276.95,2024-04-03T16:45:00Z,12415,276.89279
276.9155,277.035,276.89,336,276.95,2024-04-03T16:50:00Z,10487,276.958459
276.87,277.1,276.87,335,276.9953,2024-04-03T16:55:00Z,8683,277.00835
276.83,276.95,276.775,371,276.87,2024-04-03T17:00:00Z,19240,276.885153
276.96,276.96,276.735,409,276.8,2024-04-03T17:05:00Z,10110,276.843523
276.915,277.0,276.82,446,276.99,2024-04-03T17:10:00Z,14023,276.903974
276.9021,277.02,276.81,421,276.89,2024-04-03T17:15:00Z,12916,276.902989
277.075,277.1891,276.86,427,276.905,2024-04-03T17:20:00Z,10369,277.051889
277.165,277.2,277.08,331,277.15,2024-04-03T17:25:00Z,10196,277.146395
277.12,277.23,277.0,472,277.2,2024-04-03T17:30:00Z,14956,277.112621
276.93,277.0775,276.88,442,277.07,2024-04-03T17:35:00Z,26453,276.94268
276.935,277.05,276.89,390,276.93,2024-04-03T17:40:00Z,13084,276.979183
277.01,277.06,276.85,386,276.87,2024-04-03T17:45:00Z,12119,276.969232
276.76,277.05,276.76,331,277.015,2024-04-03T17:50:00Z,7742,276.922074
276.765,276.88,276.6,489,276.785,2024-04-03T17:55:00Z,15317,276.754668
276.77,276.965,276.76,477,276.8,2024-04-03T18:00:00Z,15519,276.837046
276.9466,277.03,276.74,537,276.785,2024-04-03T18:05:00Z,19600,276.881954
276.84,277.01,276.84,558,276.925,2024-04-03T18:10:00Z,11822,276.920854
276.6,276.92,276.59,768,276.88,2024-04-03T18:15:00Z,39696,276.754702
276.645,276.6899,276.51,550,276.615,2024-04-03T18:20:00Z,24087,276.627491
276.4,276.62,276.35,673,276.62,2024-04-03T18:25:00Z,18133,276.471459
276.3665,276.41,276.26,568,276.39,2024-04-03T18:30:00Z,18073,276.322213
276.26,276.42,276.231,607,276.359,2024-04-03T18:35:00Z,17862,276.287595
276.17,276.3,276.17,642,276.24,2024-04-03T18:40:00Z,19250,276.240284
276.1904,276.23,276.1,600,276.19,2024-04-03T18:45:00Z,20345,276.152154
276.39,276.41,276.165,588,276.18,2024-04-03T18:50:00Z,18045,276.287881
276.1,276.345,276.1,621,276.345,2024-04-03T18:55:00Z,25713,276.195281
276.11,276.17,276.07,509,276.095,2024-04-03T19:00:00Z,17369,276.122207
276.031,276.14,275.94,1257,276.14,2024-04-03T19:05:00Z,36012,276.032021
275.585,276.09,275.56,982,276.08,2024-04-03T19:10:00Z,43940,275.838136
275.25,275.585,275.15,1124,275.57,2024-04-03T19:15:00Z,36008,275.370748
275.195,275.34,275.165,1079,275.2328,2024-04-03T19:20:00Z,26943,275.253633
275.26,275.29,275.17,791,275.195,2024-04-03T19:25:00Z,23483,275.236754
275.775,275.81,275.23,968,275.23,2024-04-03T19:30:00Z,27649,275.488186
275.9,275.96,275.73,1041,275.79,2024-04-03T19:35:00Z,35116,275.851355
275.86,276.035,275.84,1345,275.88,2024-04-03T19:40:00Z,46594,275.954714
275.785,275.86,275.695,1431,275.86,2024-04-03T19:45:00Z,54650,275.77479
275.325,275.87,275.29,2306,275.81,2024-04-03T19:50:00Z,83401,275.572911
275.59,275.68,275.2,5084,275.27,2024-04-03T19:55:00Z,242111,275.444823
275.54,275.54,275.54,57,275.54,2024-04-03T20:00:00Z,475368,275.54
275.54,275.54,275.54,1,275.54,2024-04-03T20:05:00Z,7390,275.54
275.54,275.54,275.5,4,275.54,2024-04-03T20:10:00Z,12654,275.539592
275.55,275.55,275.54,6,275.54,2024-04-03T20:20:00Z,3985,275.540654
275.54,275.54,275.54,2,275.54,2024-04-03T21:35:00Z,1462,275.54
276.0,276.4,276.0,49,276.4,2024-04-04T12:00:00Z,2283,276.021053
276.1,276.1,276.1,1,276.1,2024-04-04T12:15:00Z,499,276.1
276.4,276.4,276.4,6,276.4,2024-04-04T12:45:00Z,385,276.4
276.25,276.4,276.25,4,276.38,2024-04-04T12:55:00Z,550,276.339622
276.4,276.4,276.39,5,276.39,2024-04-04T13:00:00Z,100292,276.395
275.85,275.85,275.85,11,275.85,2024-04-04T13:20:00Z,376,275.85
275.5,275.67,275.5,62,275.66,2024-04-04T13:25:00Z,2322,275.537675
275.6,276.24,275.42,2107,276.24,2024-04-04T13:30:00Z,166420,275.822455
275.435,276.15,275.155,1346,275.595,2024-04-04T13:35:00Z,75020,275.583017
275.255,275.52,274.77,1650,275.44,2024-04-04T13:40:00Z,72285,275.072208
275.67,275.67,275.17,1187,275.23,2024-04-04T13:45:00Z,36582,275.319986
275.5953,275.75,275.49,1113,275.61,2024-04-04T13:50:00Z,25856,275.586259
275.625,275.86,275.48,995,275.56,2024-04-04T13:55:00Z,22814,275.646705
275.5,275.67,275.44,1202,275.59,2024-04-04T14:00:00Z,33467,275.526055
275.275,275.55,275.165,1479,275.5,2024-04-04T14:05:00Z,41952,275.401101
274.92,275.3,274.9,1257,275.275,2024-04-04T14:10:00Z,68186,275.050453
274.92,275.05,274.82,846,274.94,2024-04-04T14:15:00Z,55684,274.941006
274.85,275.04,274.73,873,274.86,2024-04-04T14:20:00Z,31594,274.892473
274.965,275.015,274.78,717,274.835,2024-04-04T14:25:00Z,25254,274.906696
275.2349,275.26,274.93,504,274.99,2024-04-04T14:30:00Z,18024,275.060977
275.315,275.3262,275.06,606,275.14,2024-04-04T14:35:00Z,20732,275.149799
275.535,275.545,275.25,559,275.31,2024-04-04T14:40:00Z,17262,275.361833
275.52,275.82,275.5,560,275.535,2024-04-04T14:45:00Z,29898,275.652783
275.49,275.6,275.228,865,275.56,2024-04-04T14:50:00Z,41661,275.399808
275.33,275.495,275.2801,762,275.495,2024-04-04T14:55:00Z,34068,275.394445
275.3,275.41,275.2275,584,275.305,2024-04-04T15:00:00Z,23478,275.331413
275.11,275.4,275.11,640,275.31,2024-04-04T15:05:00Z,28203,275.294955
274.89,275.25,274.86,804,275.1483,2024-04-04T15:10:00Z,33456,275.045523
274.75,275.0,274.73,782,274.93,2024-04-04T15:15:00Z,26727,274.83441
275.11,275.12,274.67,783,274.8,2024-04-04T15:20:00Z,28101,274.867297
275.365,275.41,275.05,663,275.08,2024-04-04T15:25:00Z,27870,275.230985
275.64,275.6792,275.33,598,275.365,2024-04-04T15:30:00Z,21751,275.486161
275.58,275.85,275.53,553,275.645,2024-04-04T15:35:00Z,21268,275.668927
275.59,275.67,275.49,423,275.57,2024-04-04T15:40:00Z,17675,275.580281
275.2299,275.62,275.18,489,275.53,2024-04-04T15:45:00Z,15545,275.421621
275.3,275.395,275.15,456,275.18,2024-04-04T15:50:00Z,19947,275.258915
275.25,275.435,275.21,451,275.27,2024-04-04T15:55:00Z,16178,275.323666
275.27,275.27,275.05,494,275.22,2024-04-04T16:00:00Z,17328,275.18952
275.605,275.605,275.2,484,275.3,2024-04-04T16:05:00Z,12997,275.365259
275.48,275.6,275.41,450,275.575,2024-04-04T16:10:00Z,13179,275.51419
275.52,275.57,275.43,369,275.43,2024-04-04T16:15:00Z,10083,275.498301
275.42,275.525,275.42,380,275.525,2024-04-04T16:20:00Z,10111,275.477484
275.1473,275.46,275.1059,646,275.42,2024-04-04T16:25:00Z,16192,275.327732
275.01,275.16,274.95,522,275.16,2024-04-04T16:30:00Z,25893,275.022554
274.96,275.08,274.86,538,275.04,2024-04-04T16:35:00Z,19185,274.925551
274.9706,275.07,274.93,433,274.94,2024-04-04T16:40:00Z,15591,275.008313
275.25,275.28,274.97,410,274.98,2024-04-04T16:45:00Z,19063,275.134543
274.99,275.22,274.92,500,275.22,2024-04-04T16:50:00Z,18218,275.01959
274.91,275.04,274.84,575,274.9,2024-04-04T16:55:00Z,23923,274.931719
275.04,275.04,274.85,375,274.925,2024-04-04T17:00:00Z,11349,274.942597
275.24,275.24,275.03,422,275.04,2024-04-04T17:05:00Z,13732,275.126295
275.13,275.25,275.13,410,275.23,2024-04-04T17:10:00Z,13114,275.170558
275.08,275.15,275.02,499,275.15,2024-04-04T17:15:00Z,22447,275.084055
274.93,275.16,274.93,506,275.0953,2024-04-04T17:20:00Z,18473,275.070145
274.95,275.04,274.885,512,274.955,2024-04-04T17:25:00Z,22017,274.962012
274.82,274.94,274.78,601,274.94,2024-04-04T17:30:00Z,21109,274.859291
274.81,274.93,274.8,629,274.865,2024-04-04T17:35:00Z,27578,274.861089
274.63,274.8241,274.56,619,274.81,2024-04-04T17:40:00Z,22844,274.709039
274.58,274.64,274.42,676,274.62,2024-04-04T17:45:00Z,29331,274.545166
274.36,274.53,274.35,757,274.53,2024-04-04T17:50:00Z,68168,274.450153
274.15,274.37,274.08,933,274.3619,2024-04-04T17:55:00Z,45047,274.258301
274.02,274.1436,273.93,1131,274.13,2024-04-04T18:00:00Z,34098,274.03916
273.6454,274.01,273.625,867,274.01,2024-04-04T18:05:00Z,28565,273.780424
273.31,273.63,273.3,1053,273.6,2024-04-04T18:10:00Z,42430,273.476258
273.15,273.36,273.04,925,273.35,2024-04-04T18:15:00Z,36963,273.201091
273.03,273.23,273.02,1068,273.09,2024-04-04T18:20:00Z,51163,273.094744
272.47,273.11,272.425,1217,273.04,2024-04-04T18:25:00Z,43137,272.849354
271.98,272.41,271.78,1591,272.38,2024-04-04T18:30:00Z,71555,272.112715
272.19,272.402,271.9301,1150,271.99,2024-04-04T18:35:00Z,62078,272.171442
